NbElts,L_tot,rho,r,S,I,L,E,Mat
21,0.9603083436364749,8900,0.011473217976996629,0.0004135427030741776,1.3609145592959143e-08,0.04572896874459404,124000000000.0,Cuivre
41,0.5498948753556231,8900,0.05203062903686091,0.008504876774101566,5.756071594768963e-06,0.013412070130624953,124000000000.0,Cuivre
35,0.681703644130137,7850,0.053437516687498146,0.008971032046669927,6.404348435372235e-06,0.01947724697514677,210000000000.0,Acier de construction
28,0.43013214246098275,2700,0.007750017916201947,0.00018869278118107584,2.833353142486882e-09,0.015361862230749384,69000000000.0,Aluminium
47,0.8107845934223783,7800,0.07654224566087499,0.018405697168409466,2.6958435227757447e-05,0.017250736030263367,203000000000.0,Acier inoxydable
50,0.6622335276634114,2700,0.05087908146898309,0.008132580995717882,5.263164336116029e-06,0.013244670553268228,69000000000.0,Aluminium
16,0.48468940466928334,4510,0.045389182505976775,0.0064722397197909546,3.3334912900446788e-06,0.03029308779183021,114000000000.0,Titane
14,0.5621438030355772,7850,0.03351681624822452,0.003529192840616375,9.911534912097638e-07,0.04015312878825551,210000000000.0,Acier de construction
12,0.637330577142639,7850,0.031213527213754252,0.0030608043400864714,7.455233890354213e-07,0.05311088142855325,210000000000.0,Acier de construction
19,0.7616651274092704,2700,0.03327503590887616,0.0034784593969465643,9.628619231061002e-07,0.04008763828469844,69000000000.0,Aluminium
16,0.9830880803263661,2700,0.023921468489036354,0.0017977344704322266,2.571823898371509e-07,0.06144300502039788,69000000000.0,Aluminium
38,0.15545197866416138,2500,0.008239614470799258,0.00021328664164770692,3.620073997608831e-09,0.0040908415437937206,69000000000.0,Verre
44,0.6740509993189012,7800,0.04689049329713954,0.00690747745226976,3.7968993767456468e-06,0.015319340893611392,203000000000.0,Acier inoxydable
32,0.9509983877806706,8900,0.07958598267568004,0.019898623678927967,3.150911559644341e-05,0.029718699618145956,124000000000.0,Cuivre
47,0.19436721249174543,2400,0.014768552423369281,0.0006852132156394002,3.736298771503567e-08,0.004135472606207349,30000000000.0,Beton
26,0.20243227477415682,2700,0.015720285662884192,0.0007763735656642221,4.796579155268819e-08,0.007785856722082955,69000000000.0,Aluminium
16,0.8748645750206934,2400,0.0525466733276443,0.008674417596341598,5.987848277349085e-06,0.054679035938793336,30000000000.0,Beton
36,0.33956048170951225,4510,0.030146294040139736,0.0028550764013337247,6.486726762728395e-07,0.009432235603042008,114000000000.0,Titane
23,0.10342330222207691,2500,0.009233137882987751,0.0002678233974707279,5.7080420778614265e-09,0.004496665314003344,69000000000.0,Verre
46,0.7920861987012506,7850,0.06329564681376054,0.012586284873536956,1.260623069136686e-05,0.01721926518915762,210000000000.0,Acier de construction
13,0.9689773469219927,8900,0.08723206163402648,0.02390573748164687,4.547727439205081e-05,0.07453671899399944,124000000000.0,Cuivre
23,0.5932661104060083,7800,0.041853921637101735,0.00550328730724122,2.410096925792983e-06,0.025794178713304708,203000000000.0,Acier inoxydable
44,0.4561168829665839,8900,0.043687077309844634,0.005995920349059933,2.8608945204266785e-06,0.010366292794695088,124000000000.0,Cuivre
23,0.8990678119907949,7800,0.07805235366347732,0.019139116241243447,2.9149687028748245e-05,0.03908990486916499,203000000000.0,Acier inoxydable
33,0.4303854735677243,7850,0.013227164347018677,0.0005496463800122819,2.4041240890619093e-08,0.013041984047506797,210000000000.0,Acier de construction
32,0.653853511895409,8900,0.03783297830627777,0.004496669156850625,1.6090591409954877e-06,0.02043292224673153,124000000000.0,Cuivre
30,0.33728159778309547,7850,0.019305164226072966,0.001170838173654645,1.0908973409717094e-07,0.011242719926103182,210000000000.0,Acier de construction
26,0.930774689319523,7800,0.07307865051167398,0.01677764151354009,2.2400203160904338e-05,0.03579902651228935,203000000000.0,Acier inoxydable
34,0.2742644000363797,8900,0.018344208774921506,0.001057177329967087,8.893768465807205e-08,0.008066600001069991,124000000000.0,Cuivre
12,0.23061242922128228,4510,0.01563512853015497,0.0007679850823524765,4.6934879195906744e-08,0.019217702435106856,114000000000.0,Titane
38,0.5961309811239793,4510,0.022294910485672247,0.0015615695746161536,1.9404962747004158e-07,0.015687657397999457,114000000000.0,Titane
46,0.9627230841028221,7850,0.06436927844008337,0.01301688758892207,1.348355604831683e-05,0.02092876269788744,210000000000.0,Acier de construction
45,0.2549714560606343,2500,0.018777851030353163,0.001107749726361126,9.765026783874834e-08,0.005666032356902985,69000000000.0,Verre
36,0.2586790608776332,2500,0.007228549303073404,0.00016415426380063158,2.144344071241727e-09,0.007185529468823145,69000000000.0,Verre
35,0.45651816113253507,2400,0.02657002175228187,0.0022178577749517657,3.9143307649173915e-07,0.013043376032358145,30000000000.0,Beton
20,0.2112516567079913,7850,0.02044185758728141,0.0013127758821082248,1.371422640261603e-07,0.010562582835399565,210000000000.0,Acier de construction
16,0.6725268931243692,2400,0.011877825226846628,0.0004432244747750424,1.5632829960874917e-08,0.042032930820273075,30000000000.0,Beton
48,0.6387270386417345,4510,0.05085434854993499,0.008124676231215246,5.252937851971845e-06,0.013306813305036136,114000000000.0,Titane
22,0.3790315883132195,7800,0.028966503223324475,0.0026359794194466164,5.529351085512655e-07,0.017228708559691795,203000000000.0,Acier inoxydable
32,0.14096721063778184,4510,0.010043089538651944,0.0003168724939417744,7.990228881372223e-09,0.004405225332430682,114000000000.0,Titane
39,0.11991763951989254,2500,0.002493372848623487,1.9530993010575824e-05,3.035559746608781e-11,0.0030748112697408345,69000000000.0,Verre
19,0.28640177812228784,7800,0.019309395168614844,0.001171351434439717,1.0918539847903028e-07,0.015073777795909887,203000000000.0,Acier inoxydable
29,0.7511355278449477,8900,0.03378156305587477,0.0035851666945685844,1.0228426824493506e-06,0.025901225098101645,124000000000.0,Cuivre
42,0.2119809480830237,7800,0.011533958156142372,0.0004179329531437518,1.3899634085586346e-08,0.005047165430548183,203000000000.0,Acier inoxydable
34,0.6784976195652503,7800,0.044961223885319146,0.006350766159045972,3.209536949419368e-06,0.019955812340154422,203000000000.0,Acier inoxydable
30,0.9713293608243609,2500,0.012912162491543512,0.0005237787057350695,2.183161240430237e-08,0.03237764536081203,69000000000.0,Verre
48,0.5406047380791453,2500,0.03383447248172722,0.003596405822770363,1.0292657473652071e-06,0.011262598709982195,69000000000.0,Verre
49,0.3804915939165965,2500,0.009394274582581503,0.0002772530755830196,6.11706198068101e-09,0.007765134569726459,69000000000.0,Verre
19,0.10103649581841492,2500,0.006216945882587472,0.00012142386330000678,1.1732707104668341e-09,0.005317710306232365,69000000000.0,Verre
24,0.4536253876091051,2400,0.026246745941283626,0.0021642170174649413,3.727277702069987e-07,0.018901057817046044,30000000000.0,Beton
41,0.4195897864151944,7800,0.015548186927101595,0.0007594678243217046,4.589959932590746e-08,0.010233897229638888,203000000000.0,Acier inoxydable
36,0.9584431261861888,2400,0.07113925589964498,0.01589895240336046,2.0115329658945588e-05,0.026623420171838576,30000000000.0,Beton
42,0.7975581375014994,2400,0.0398638092985024,0.00499237805912762,1.9833760637919775e-06,0.018989479464321415,30000000000.0,Beton
45,0.8100587267755496,2400,0.024788510096853622,0.0019304151692826207,2.965456646279633e-07,0.01800130503945666,30000000000.0,Beton
36,0.2788600698246414,2400,0.01819374274409692,0.0010399057315086163,8.605539050302928e-08,0.007746113050684483,30000000000.0,Beton
38,0.42390295133270695,7800,0.032134092215187295,0.003244008204941339,8.374406228081299e-07,0.01115534082454492,203000000000.0,Acier inoxydable
19,0.848300119878149,2400,0.0654476492000896,0.013456681591550617,1.4410069940915202e-05,0.044647374730428895,30000000000.0,Beton
22,0.5041255594821933,4510,0.016192183122682738,0.0008236841067735679,5.398977386327616e-08,0.022914798158281513,114000000000.0,Titane
15,0.13721361631860995,7850,0.0024246150491156206,1.8468663373539e-05,2.7143201268896774e-11,0.009147574421240664,210000000000.0,Acier de construction
31,0.7217903440762752,2700,0.02740406791222181,0.0023592824814245663,4.429452224492355e-07,0.023283559486331457,69000000000.0,Aluminium
40,0.24400864445140283,7850,0.01825483463271025,0.0010469011549179056,8.721707021087533e-08,0.006100216111285071,210000000000.0,Acier de construction
27,0.40263042447982333,7800,0.008248944837777921,0.0002137699577995956,3.6364990545021622e-09,0.01491223794369716,203000000000.0,Acier inoxydable
20,0.7206721709799498,4510,0.025581983802925437,0.0020559772840836933,3.363773616415592e-07,0.036033608548997495,114000000000.0,Titane
46,0.9621832260424239,4510,0.059300913788899935,0.011047719624291137,9.712598222869746e-06,0.020917026653096173,114000000000.0,Titane
32,0.8049938296879822,7800,0.024860155574222702,0.0019415901359020624,2.9998894442318895e-07,0.025156057177749443,203000000000.0,Acier inoxydable
24,0.9304109478690221,4510,0.08229587558539317,0.021276785397912636,3.602484844363427e-05,0.03876712282787592,114000000000.0,Titane
48,0.4641800329793063,7800,0.011734540538962585,0.00043259555432421996,1.4892041573820986e-08,0.009670417353735548,203000000000.0,Acier inoxydable
19,0.24164322907197566,2400,0.010507566238084189,0.00034685994070563387,9.574110310644473e-09,0.01271806468799872,30000000000.0,Beton
16,0.7606317125292681,2500,0.042672201715711594,0.005720578839373498,2.6041745275357424e-06,0.047539482033079256,69000000000.0,Verre
13,0.4287300399846189,7850,0.019310992710801146,0.0011715452634772892,1.0922153631277914e-07,0.03297923384497069,210000000000.0,Acier de construction
27,0.949269780950578,8900,0.07764048513766371,0.018937661675174026,2.8539268873190387e-05,0.03515814003520659,124000000000.0,Cuivre
49,0.6447362694806253,2500,0.05331322823370969,0.008929349756540356,6.344973383446032e-06,0.013157883050625006,69000000000.0,Verre
27,0.6064693582787595,2400,0.031413096436072464,0.003100069053878599,7.647735717609854e-07,0.022461828084398498,30000000000.0,Beton
42,0.5930548363549116,8900,0.012709277261971335,0.0005074480420893914,2.0491478671344932e-08,0.014120353246545515,124000000000.0,Cuivre
11,0.5984422120482322,2400,0.05316193086550864,0.00887874054818797,6.273253920424604e-06,0.0544038374589302,30000000000.0,Beton
39,0.16686378406155905,7800,0.00880055043089182,0.00024331537048758546,4.711174875573254e-09,0.004278558565681001,203000000000.0,Acier inoxydable
47,0.15445196589515608,2700,0.0072902862833452604,0.00016697022744196038,2.218544853369477e-09,0.00328621204032247,69000000000.0,Aluminium
28,0.9571791200362271,2700,0.03928672205026006,0.004848880278142575,1.8709968592597487e-06,0.03418496857272239,69000000000.0,Aluminium
33,0.8459868828663881,2700,0.03307993999983909,0.0034377896442748888,9.404782017792136e-07,0.025635966147466306,69000000000.0,Aluminium
16,0.8715151534478967,2500,0.03496062011175012,0.003839795782818974,1.1732927593991907e-06,0.05446969709049354,69000000000.0,Verre
44,0.2491139386448743,7850,0.015277218408237403,0.0007332269980399775,4.2782585931406055e-08,0.005661680423747143,210000000000.0,Acier de construction
37,0.9719773718326274,7800,0.08473932240797052,0.022559000124852676,4.0497650614537054e-05,0.02626965869817912,203000000000.0,Acier inoxydable
32,0.7916485212936174,2700,0.04124610733983763,0.005344607392140872,2.2731168014006192e-06,0.024739016290425544,69000000000.0,Aluminium
39,0.13196494597286063,8900,0.006597893749964312,0.00013676044579615358,1.488370835807667e-09,0.0033837165634066826,124000000000.0,Cuivre
28,0.20741691358581288,2700,0.014935737449348828,0.0007008147181048528,3.9083780367831387e-08,0.007407746913779031,69000000000.0,Aluminium
48,0.8484178546197105,2500,0.08317038487817495,0.02173137945451599,3.758068797179451e-05,0.01767537197124397,69000000000.0,Verre
42,0.9318502303694374,7850,0.064932169646796,0.013245541021637918,1.3961418323554649e-05,0.022186910246891366,210000000000.0,Acier de construction
13,0.8032552983104436,7850,0.012824709963876961,0.0005167077517743163,2.1246142497070035e-08,0.061788869100803355,210000000000.0,Acier de construction
29,0.11442191684148549,8900,0.0034427539277999365,3.72358984808228e-05,1.1033513002472015e-10,0.003945583339361568,124000000000.0,Cuivre
14,0.7097736932469048,2400,0.02560299607470341,0.0020593561069064243,3.374838849816187e-07,0.05069812094620748,30000000000.0,Beton
19,0.5577180738997032,2500,0.01849409892532075,0.001074524260493947,9.188033854983858e-08,0.029353582836826483,69000000000.0,Verre
27,0.7404291911915797,4510,0.028907928951751972,0.0026253295689252602,5.484762113889613e-07,0.027423303377465916,114000000000.0,Titane
50,0.29156349894308675,7800,0.02835698855812108,0.002526213714961763,5.078439853085897e-07,0.005831269978861735,203000000000.0,Acier inoxydable
13,0.23852403439540576,8900,0.020953351825834503,0.0013792941149295649,1.513923402279305e-07,0.018348002645800443,124000000000.0,Cuivre
16,0.1354935606476826,8900,0.002078268476196959,1.3569166546904367e-05,1.4651985559556728e-11,0.008468347540480162,124000000000.0,Cuivre
10,0.7019330305400638,8900,0.06796637520573438,0.014512361566864525,1.6759702917463785e-05,0.07019330305400638,124000000000.0,Cuivre
33,0.11473514296350525,7800,0.011315642807007002,0.0004022613738796583,1.2876765924017116e-08,0.0034768225140456134,203000000000.0,Acier inoxydable
48,0.3321240930078982,2700,0.012900888190455864,0.0005228644265435914,2.17554628089966e-08,0.006919251937664545,69000000000.0,Aluminium
50,0.46231828454781265,7850,0.024095479803875275,0.00182398402368103,2.647477000910734e-07,0.009246365690956253,210000000000.0,Acier de construction
20,0.5536728055768396,7800,0.03633979334736374,0.00414872625026357,1.3696818300073473e-06,0.02768364027884198,203000000000.0,Acier inoxydable
22,0.822388101671188,8900,0.014309080290475684,0.0006432404007742884,3.292583243689149e-08,0.037381277348690366,124000000000.0,Cuivre
15,0.5853747041139576,2700,0.03271046910326911,0.003361424936510217,8.991599842584238e-07,0.03902498027426384,69000000000.0,Aluminium
46,0.34395659312079757,8900,0.011682909664406374,0.0004287971695226296,1.4631671962668369e-08,0.007477317241756469,124000000000.0,Cuivre
41,0.9984222281174616,2700,0.01031342770894735,0.000334161129529817,8.885911765251363e-09,0.024351761661401503,69000000000.0,Aluminium
18,0.3011913408175533,4510,0.030078314087569762,0.0028422145136520363,6.428414050102589e-07,0.01673285226764185,114000000000.0,Titane
11,0.3254393873013376,8900,0.007674741387150026,0.00018504500776210249,2.724864318306017e-09,0.029585398845576146,124000000000.0,Cuivre
34,0.12663735358456957,8900,0.003929797599441015,4.85165866436692e-05,1.8731416188401957e-10,0.0037246280466049875,124000000000.0,Cuivre
24,0.6416854861900972,8900,0.011033080296715379,0.0003824224949252233,1.1637963666113821e-08,0.02673689525792072,124000000000.0,Cuivre
34,0.5344151543898551,2500,0.0308477115987406,0.002989480855551048,7.111835278432914e-07,0.01571809277617221,69000000000.0,Verre
35,0.8003871317268713,2500,0.03795823340835057,0.004526493037199901,1.6304738929478113e-06,0.022868203763624893,69000000000.0,Verre
41,0.4630328681472283,2700,0.014276762131237762,0.0006403380661392855,3.2629376574209036e-08,0.011293484588956789,69000000000.0,Aluminium
21,0.9034843011932513,7800,0.04547231235860188,0.00649596911999258,3.3579794916822974e-06,0.0430230619615834,203000000000.0,Acier inoxydable
45,0.2598041221724403,7800,0.014638676220531199,0.0006732145333551312,3.606592721391571e-08,0.00577342493716534,203000000000.0,Acier inoxydable
35,0.6763861624813103,7800,0.014427530062793013,0.0006539338950742146,3.40296774820803e-08,0.01932531892803744,203000000000.0,Acier inoxydable
19,0.24530178383031362,2500,0.016617999413953,0.0008675756440775139,5.989696797072354e-08,0.012910620201595453,69000000000.0,Verre
30,0.8544963307995828,4510,0.03161117200552922,0.0031392873389618275,7.842459289959911e-07,0.028483211026652758,114000000000.0,Titane
11,0.23425220776182767,2400,0.0036239215894109792,4.1257932147970345e-05,1.3545812210738542e-10,0.021295655251075244,30000000000.0,Beton
27,0.11291154913609895,7850,0.003900658380453578,4.779975885580122e-05,1.8181995556154963e-10,0.004181909227262924,210000000000.0,Acier de construction
34,0.35068098833652384,8900,0.02228182502913282,0.0015597370618335889,1.9359445751802197e-07,0.010314146715780112,124000000000.0,Cuivre
44,0.1808657313289282,2700,0.0037950157688527147,4.5245671940974614e-05,1.629086784255005e-10,0.004110584802930186,69000000000.0,Aluminium
40,0.17743549356755084,7800,0.0019775485155153496,1.2285820519438543e-05,1.2011533836458831e-11,0.004435887339188771,203000000000.0,Acier inoxydable
25,0.45672863979078926,7850,0.023827053722610812,0.001783571650590764,2.5314610959795294e-07,0.01826914559163157,210000000000.0,Acier de construction
46,0.6151634211630018,7800,0.053287453852811736,0.008920718021544564,6.3327123210083785e-06,0.013373117851369605,203000000000.0,Acier inoxydable
39,0.19389890379990427,2400,0.0071280618714716975,0.00015962201693663878,2.027569381234577e-09,0.004971766764100109,30000000000.0,Beton
23,0.9094012712024135,7850,0.057761880385510875,0.01048171913750622,8.742893190817041e-06,0.039539185704452764,210000000000.0,Acier de construction
45,0.25946071204907983,7800,0.014127094135599285,0.0006269826900721837,3.128248447494947e-08,0.005765793601090663,203000000000.0,Acier inoxydable
27,0.5636876884360768,2400,0.026145452846122307,0.0021475446858540436,3.6700717488548546e-07,0.020877321793928767,30000000000.0,Beton
39,0.7259358140505434,2500,0.0697249988378017,0.015273089759217836,1.8562819604140754e-05,0.018613738821808806,69000000000.0,Verre
24,0.3318760323564904,7800,0.02274635247465384,0.0016254492033038789,2.1025045286362894e-07,0.013828168014853766,203000000000.0,Acier inoxydable
36,0.7281379943395128,7800,0.03348842425440619,0.0035232162358776586,9.87799343636098e-07,0.0202260553983198,203000000000.0,Acier inoxydable
27,0.13823644021346168,8900,0.012989028887812622,0.0005300334006937365,2.235612926535459e-08,0.005119868156054136,124000000000.0,Cuivre
14,0.7750507467975332,4510,0.03040279205839768,0.002903867599049265,6.710328138160009e-07,0.05536076762839522,114000000000.0,Titane
38,0.5507410795871488,4510,0.02856835973874731,0.0025640145455338966,5.231558730408052e-07,0.014493186304924969,114000000000.0,Titane
16,0.7324498344032121,7800,0.01615112911969737,0.0008195126295591007,5.3444305489403256e-08,0.045778114650200756,203000000000.0,Acier inoxydable
33,0.9356780519763973,4510,0.03001474475491685,0.002830213392061099,6.374241290837872e-07,0.028353880362921132,114000000000.0,Titane
22,0.6488566446280849,2400,0.01277173208445662,0.0005124476100718892,2.0897247194693105e-08,0.02949348384673113,30000000000.0,Beton
32,0.27152408768328196,7800,0.017014165966685795,0.0009094340330189546,6.581616011452467e-08,0.008485127740102561,203000000000.0,Acier inoxydable
39,0.8820057175730673,2400,0.08452451094902386,0.02244477240975957,4.008856844873457e-05,0.022615531219822238,30000000000.0,Beton
16,0.4430256638656913,2500,0.02242123407602243,0.0015793155013775662,1.984851099363082e-07,0.027689103991605707,69000000000.0,Verre
17,0.30294233008609617,8900,0.023892694064881915,0.0017934121887387155,2.5594719250452474e-07,0.01782013706388801,124000000000.0,Cuivre
40,0.4780547684673291,2500,0.023436941976169846,0.0017256462115574835,2.369701593919249e-07,0.011951369211683226,69000000000.0,Verre
15,0.20850960834709714,2400,0.020713089643160952,0.001347844038742486,1.4456708372883676e-07,0.013900640556473142,30000000000.0,Beton
34,0.7353066237575161,4510,0.062428740786749225,0.012243878828095259,1.1929663174646404e-05,0.021626665404632827,114000000000.0,Titane
32,0.4506543914773484,4510,0.015326518639595192,0.0007379669429250068,4.333750973632669e-08,0.014082949733667138,114000000000.0,Titane
44,0.15127794751941584,7800,0.006950067517304341,0.00015174972751929778,1.8325084074687256e-09,0.0034381351708958146,203000000000.0,Acier inoxydable
44,0.38140305238907646,8900,0.02867379738881674,0.002582975560552294,5.309220101137904e-07,0.00866825119066083,124000000000.0,Cuivre
12,0.548289595036955,2700,0.03164243078978602,0.0031454989924764223,7.873525471518768e-07,0.045690799586412915,69000000000.0,Aluminium
16,0.6779511275760998,2400,0.03150046024461305,0.0031173364029589393,7.733168587363474e-07,0.042371945473506235,30000000000.0,Beton
49,0.36580337301614574,8900,0.011145187266138496,0.00039023355726241685,1.2118234762205099e-08,0.007465374959513178,124000000000.0,Cuivre
48,0.8263985841987168,2500,0.05465682863911291,0.009385096242849524,7.009186199466545e-06,0.0172166371708066,69000000000.0,Verre
13,0.16783424816386522,2700,0.004725692481494791,7.015857941893109e-05,3.916983206318934e-10,0.012910326781835787,69000000000.0,Aluminium
32,0.27455351072615064,7850,0.017412533879280153,0.0009525193820779256,7.220009667687021e-08,0.008579797210192208,210000000000.0,Acier de construction
11,0.7204329828653682,2400,0.01254804036551073,0.0004946541840160559,1.9471235512105567e-08,0.06549390753321528,30000000000.0,Beton
50,0.989833041440647,4510,0.026582611221614427,0.002219960013907621,3.9217548284923336e-07,0.01979666082881294,114000000000.0,Titane
26,0.7398754685001505,2500,0.01732149863462356,0.0009425855996694598,7.070200616946733e-08,0.028456748788467327,69000000000.0,Verre
42,0.7351839612846089,4510,0.02962245256609884,0.0027567151826510252,6.047472919169681e-07,0.017504380030585926,114000000000.0,Titane
